,intent_match,intent_match,intent_match,intent_match,semantic_similarity,semantic_similarity,semantic_similarity,semantic_similarity,policy_adherence,policy_adherence,policy_adherence,policy_adherence
,mean,median,std,count,mean,median,std,count,mean,median,std,count
Model,,,,,,,,,,,,
Data Branching,0.5023884057971014,0.5,0.37628261686414316,1725,0.32008695652173913,0.2,0.2937651481571026,1725,0.9575188405797102,1.0,0.13194463051104716,1725
Finetuned,0.4709752321981424,0.4,0.41336637578051166,646,0.34506191950464393,0.2,0.3470079138637357,646,,,,0
Finetuned Branching,0.5228864734299516,0.6,0.3837315610827439,1656,0.33501811594202896,0.25,0.29557297467362426,1656,0.9175664251207729,1.0,0.15473218787861145,1656
Policy Probing,0.5128652321630804,0.5,0.39339166012758164,1766,0.34773499433748584,0.25,0.32216524886963693,1766,0.9073442808607021,1.0,0.2229834337235579,1766
Policy Probing Extended,0.5311536231884058,0.6,0.3879746956146376,1725,0.34704347826086956,0.25,0.3113572579466579,1725,,,,0
